"ID","Name","LongName","Parent","McCC","CLOC","PDA","PUA","LLOC","LOC"
"L7870","TypeVariableTest.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/test/java/com/google/gson/functional/TypeVariableTest.java","L7819","6","0","3","15","96","141"
"L7871","UncategorizedTest.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/test/java/com/google/gson/functional/UncategorizedTest.java","L7819","5","0","3","4","89","135"
"L7872","VersioningTest.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/test/java/com/google/gson/functional/VersioningTest.java","L7819","1","0","1","10","121","171"
"L13215","PerformanceTest.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/test/java/com/google/gson/metrics/PerformanceTest.java","L13214","21","0","6","7","262","347"
"L14003","JsonAdapterNullSafeTest.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/test/java/com/google/gson/regression/JsonAdapterNullSafeTest.java","L14002","3","0","0","3","37","63"
"L3141","JsonElementReaderTest.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/test/java/com/google/gson/internal/bind/JsonElementReaderTest.java","L3140","21","0","0","18","276","313"
"L3142","JsonTreeReaderTest.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/test/java/com/google/gson/internal/bind/JsonTreeReaderTest.java","L3140","1","0","0","3","32","51"
"L3143","JsonTreeWriterTest.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/test/java/com/google/gson/internal/bind/JsonTreeWriterTest.java","L3140","9","0","0","13","146","176"
"L3144","RecursiveTypesResolveTest.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/test/java/com/google/gson/internal/bind/RecursiveTypesResolveTest.java","L3140","1","0","4","6","57","115"
"L5759","UnsafeReflectionAccessorTest.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/test/java/com/google/gson/internal/reflect/UnsafeReflectionAccessorTest.java","L5758","2","0","1","1","25","52"
"L191","CodeGen.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/codegen/src/main/java/com/google/gson/codegen/CodeGen.java","L190","2","0","1","2","29","54"
"L192","GeneratedTypeAdapter.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/codegen/src/main/java/com/google/gson/codegen/GeneratedTypeAdapter.java","L190","1","0","0","1","4","22"
"L193","GeneratedTypeAdapterProcessor.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/codegen/src/main/java/com/google/gson/codegen/GeneratedTypeAdapterProcessor.java","L190","3","0","0","2","39","62"
"L194","JavaWriter.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/codegen/src/main/java/com/google/gson/codegen/JavaWriter.java","L190","47","0","18","3","305","444"
"L546","CodeGenFunctionalTest.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/codegen/src/test/java/com/google/gson/codegen/functional/CodeGenFunctionalTest.java","L545","1","0","0","2","7","27"
"L547","Order.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/codegen/src/test/java/com/google/gson/codegen/functional/Order.java","L545","1","0","0","0","17","38"
"L574","GsonProguardExampleActivity.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/examples/android-proguard-example/src/com/google/gson/examples/android/GsonProguardExampleActivity.java","L573","1","0","1","1","35","61"
"L613","Cart.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/examples/android-proguard-example/src/com/google/gson/examples/android/model/Cart.java","L612","12","0","1","6","76","109"
"L614","LineItem.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/examples/android-proguard-example/src/com/google/gson/examples/android/model/LineItem.java","L612","1","0","1","6","30","58"
"L743","GraphAdapterBuilder.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/extras/src/main/java/com/google/gson/graph/GraphAdapterBuilder.java","L742","21","0","1","4","192","309"
"L1125","Intercept.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/extras/src/main/java/com/google/gson/interceptors/Intercept.java","L1124","1","0","2","0","11","65"
"L1126","InterceptorFactory.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/extras/src/main/java/com/google/gson/interceptors/InterceptorFactory.java","L1124","3","0","1","1","39","50"
"L1127","JsonPostDeserializer.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/extras/src/main/java/com/google/gson/interceptors/JsonPostDeserializer.java","L1124","1","0","2","0","5","34"
"L1353","PostConstructAdapterFactory.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/extras/src/main/java/com/google/gson/typeadapters/PostConstructAdapterFactory.java","L1352","9","0","1","1","51","77"
"L1354","RuntimeTypeAdapterFactory.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/extras/src/main/java/com/google/gson/typeadapters/RuntimeTypeAdapterFactory.java","L1352","14","0","5","1","101","241"
"L1355","UtcDateTypeAdapter.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/extras/src/main/java/com/google/gson/typeadapters/UtcDateTypeAdapter.java","L1352","37","0","0","3","186","283"
"L701","RawCollectionsExample.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/extras/src/main/java/com/google/gson/extras/examples/rawcollections/RawCollectionsExample.java","L700","1","0","0","2","36","56"
"L750","GraphAdapterBuilderTest.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/extras/src/test/java/com/google/gson/graph/GraphAdapterBuilderTest.java","L749","1","0","0","9","153","198"
"L1129","InterceptorTest.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/extras/src/test/java/com/google/gson/interceptors/InterceptorTest.java","L1128","10","0","1","13","133","172"
